iter	Logloss
0	0.5925346826
1	0.5063850215
2	0.4722295314
3	0.4307872214
4	0.4097871504
5	0.3935407437
6	0.3690230488
7	0.3627519816
8	0.3551515327
9	0.3495496914
10	0.3419508043
11	0.3377629332
12	0.3325861199
13	0.330251901
14	0.3280177279
15	0.3260842473
16	0.3239205795
17	0.3229273612
18	0.3201888862
19	0.3186693823
20	0.3169088202
21	0.3157306973
22	0.3145745755
23	0.3136247154
24	0.3125264361
25	0.3117069215
26	0.3105306391
27	0.309933152
28	0.3086687258
29	0.308238664
30	0.3072847017
31	0.3066955247
32	0.3061122497
33	0.3056382244
34	0.3053079589
35	0.304637229
36	0.3037874003
37	0.3033060785
38	0.302939318
39	0.3025177365
40	0.3020948407
41	0.301559672
42	0.3010368043
43	0.3006578992
44	0.3002546064
45	0.2997787129
46	0.2993668739
47	0.2991055173
48	0.2987334116
49	0.2985291692
50	0.2981519007
51	0.2979230768
52	0.2973735893
53	0.2971464832
54	0.2967911499
55	0.2964924199
56	0.2961998677
57	0.2958775643
58	0.295604902
59	0.295305388
60	0.2950892365
61	0.2950346357
62	0.2948015568
63	0.2945150134
64	0.2943046705
65	0.2940397557
66	0.2936289249
67	0.2933518683
68	0.2932073562
69	0.2929058715
70	0.2927005137
71	0.2925821652
72	0.2923922141
73	0.2921374669
74	0.2920082971
75	0.2916398898
76	0.291343075
77	0.2910562083
78	0.2908706559
79	0.2905376776
80	0.290352356
81	0.2901766147
82	0.290081616
83	0.2898205416
84	0.2895497519
85	0.2893948776
86	0.2890934101
87	0.2889403552
88	0.2885952858
89	0.2883574082
90	0.2881408063
91	0.287985116
92	0.287650002
93	0.2875265809
94	0.2872846525
95	0.2870571105
96	0.2868443826
97	0.2866886628
98	0.2864416554
99	0.2861718072
100	0.2859780975
101	0.2857383705
102	0.2855669536
103	0.2853768674
104	0.2852650444
105	0.2851162431
106	0.284855545
107	0.2846492085
108	0.284387759
109	0.2841271693
110	0.2839585775
111	0.2836810384
112	0.2835886042
113	0.2834650486
114	0.2832366589
115	0.2830819886
116	0.2827861646
117	0.2825997811
118	0.2823830667
119	0.2821784409
120	0.2819774059
121	0.2818148694
122	0.2815431026
123	0.2813317762
124	0.2811813208
125	0.2810132764
126	0.280835109
127	0.2806021257
128	0.2803750532
129	0.2802664899
130	0.2800637862
131	0.2799201008
132	0.2798377519
133	0.2796293258
134	0.2794284845
135	0.2792018677
136	0.2789901875
137	0.2788626379
138	0.278693938
139	0.2785187632
140	0.2783301887
141	0.2781308213
142	0.2779945126
143	0.2778218685
144	0.2776960486
145	0.2774841536
146	0.2773557553
147	0.2771981911
148	0.276974252
149	0.2767638879
150	0.2765704099
151	0.2763677485
152	0.2761899958
153	0.2760029071
154	0.2758717633
155	0.2757513105
156	0.2755881429
157	0.2754135885
158	0.2753132759
159	0.2751395505
160	0.2749839385
161	0.274820881
162	0.2746220103
163	0.2744498959
164	0.2743212554
165	0.2741156438
166	0.2740087429
167	0.2738119329
168	0.2736257517
169	0.2734738754
170	0.2733133182
171	0.2732188701
172	0.273055106
173	0.2729015251
174	0.2728044983
175	0.2726539333
176	0.2724861073
177	0.2723356556
178	0.2721307513
179	0.2718719471
180	0.2716983721
181	0.2715309942
182	0.2713643582
183	0.2712230473
184	0.2710719519
185	0.2709518798
186	0.2707516464
187	0.2706266017
188	0.270494713
189	0.2703837876
190	0.2702376375
191	0.270126892
192	0.2699671951
193	0.2698294989
194	0.2696696115
195	0.2695262677
196	0.2693763279
197	0.2692820423
198	0.2691847505
199	0.2690391647
200	0.2689269779
201	0.2687891735
202	0.2686773335
203	0.2686015154
204	0.2684679997
205	0.2683813967
206	0.2682335292
207	0.2680855979
208	0.2679160824
209	0.2677298788
210	0.2675219714
211	0.2673780568
212	0.2672358226
213	0.2671200394
214	0.2670063672
215	0.2669192873
216	0.266833059
217	0.2667318076
218	0.2665947353
219	0.2664476402
220	0.2663233176
221	0.2661602826
222	0.265995409
223	0.2658838474
224	0.2657391551
225	0.2656056252
226	0.2654795279
227	0.2653149586
228	0.2651788959
229	0.2649795836
230	0.2648681252
231	0.2647908705
232	0.2645967016
233	0.2644875187
234	0.2644016744
235	0.264287587
236	0.2641115446
237	0.2639557195
238	0.2638357642
239	0.2637327028
240	0.2635068824
241	0.2633132085
242	0.2631322709
243	0.2630365006
244	0.2629128776
245	0.262770575
246	0.2626562258
247	0.2625337556
248	0.2624395903
249	0.2623420611
250	0.2621832346
251	0.262038812
252	0.2618740483
253	0.2617912265
254	0.2616983346
255	0.2616216878
256	0.261533917
257	0.2613747005
258	0.2612848839
259	0.2611368442
260	0.2609889159
261	0.2608859743
262	0.2607600383
263	0.2606312438
264	0.2604859703
265	0.2604131401
266	0.2602347941
267	0.2601274777
268	0.2600131926
269	0.2599101169
270	0.2597655229
271	0.2596146842
272	0.2595332851
273	0.2594558308
274	0.2593685728
275	0.2592410961
276	0.2591413308
277	0.2590864088
278	0.2589405833
279	0.2588553291
280	0.2587494788
281	0.2586502982
282	0.2585588697
283	0.2584942054
284	0.2584016698
285	0.2582849065
286	0.2581990838
287	0.2581095347
288	0.2580044315
289	0.2578748882
290	0.2577868622
291	0.2576204498
292	0.2575082786
293	0.2573880934
294	0.2572360932
295	0.2571395424
296	0.2570949031
297	0.2569457859
298	0.2568546241
299	0.2567813958
300	0.2566285359
301	0.2565229305
302	0.2564371388
303	0.2562956897
304	0.2561885277
305	0.2560580148
306	0.2559204569
307	0.2557851418
308	0.2556811812
309	0.2555883483
310	0.2554687685
311	0.2553752346
312	0.2552787543
313	0.2551370608
314	0.2550307646
315	0.2549398303
316	0.2548365814
317	0.2546920083
318	0.2545855877
319	0.2545025007
320	0.2544106482
321	0.2543051476
322	0.2541210352
323	0.2540027777
324	0.2538601372
325	0.2537570378
326	0.2537053741
327	0.2536120565
328	0.2534679726
329	0.2533917073
330	0.2533167628
331	0.2531702663
332	0.2530477502
333	0.2529267212
334	0.25282021
335	0.2527005451
336	0.2525738522
337	0.252456697
338	0.2523555342
339	0.2522696416
340	0.2521804293
341	0.2520937913
342	0.2519994235
343	0.2518519421
344	0.2516391423
345	0.2515672674
346	0.25144098
347	0.2513051943
348	0.251174134
349	0.2510701665
